"ticket_no","name","ticket_title","description_plain","comments","solution"
T014527,,Technical issue with machine,"Hello Team, We are currently experiencing an issue with the punch-out function on one of our machines. Could you please look into this matter and provide assistance to resolve it?",Cient sending device video.,Verified Rma for RMA000219
T014527,,Technical issue with machine,"Hello Team, We are currently experiencing an issue with the punch-out function on one of our machines. Could you please look into this matter and provide assistance to resolve it?",Cient sending device video.,Verified Rma for RMA000219
T014528,Biot Device,Installation Of New Biot Device,Kakadeo location - Installation Of New Biot Device,Device Added,Device Added
T014529,Biot Device,Privacy policies,Privacy policies,Issue resolved,Issue resolved
T014530,Biot Device,Installation Of New Biot Device,Installation Of New Biot Device,"1. Account Creation and Password Setup: Begin with the creating an account for the client on our platform. You'll need to provide essential details such as your company name, address, and contact number and other needed information. Set up a secure password to ensure the safety of your account. it can be reset later on using OTP.

 2. Subscription Plan Selection and Device Setup: Choose a subscription plan that suits your upon requirements. Ensure that the device is connected with adapter can get power on and near by Bluetooth range during the setup process to establish a stable connection.

 3. Device Integration with Account: Add the new device to your account. You'll be prompted to input your Wi-Fi network's SSID and password details to enable seamless connectivity. which supports only 2.4G band connections.

 4. Device Configuration and Policy Setup: Personalize the device by assigning it a distinct name and configuring any necessary policies like attendance, work hours, leave, device setup . This step ensures that the device operates according to your specific requirements and security measures. 

5. Admin Details and Fingerprint Parameters: Provide administrative credentials for accessing the device settings. Configure fingerprint parameters if applicable, and add user details by selecting specific device to establish user profiles within the system. 

6. User Addition Process Guidance: Guide the client through the process of adding users to the system. This may involve assigning unique identifiers, such as fingerprints or access codes, to individual users for seamless authentication.

 7. Attendance Records Checking Instructions: Instruct the client on how to access and review attendance records through the system interface. This allows for easy monitoring of employee attendance and punctuality. 

8. Adding Holiday Schedules to the System: To enhance system functionality, you can add holiday schedules to ensure accurate attendance tracking. This involves inputting dates and details of holidays when regular work schedules are altered. This feature enables the system to accommodate deviations from standard working hours and ensures accurate record-keeping.

9. Tour policies Guidance Process: Client have users to apply for particularly this then they are configuring upon understanding and explanation given to them.

 By following these comprehensive steps, you can successfully set up your new device, customize it to meet your needs, and seamlessly integrate it into your operational processes.

client side wifi update 196.168.0.1

Plan update:
1.Kindly Open the mobile application of biot with administrator user login. 
2.Go to the left side menu. 
3.Click on your name above the dashboard. 
4.Select ""Manage Subscription."" 
5.Choose the desired plan, enabling and disabling features as needed. 
6.Complete the payment for the selected plan. 
7.After the payment is processed, you can check the plan's expiry date and name.","1. Account Creation and Password Setup: Begin with the creating an account for the client on our platform. You'll need to provide essential details such as your company name, address, and contact number and other needed information. Set up a secure password to ensure the safety of your account. it can be reset later on using OTP.

 2. Subscription Plan Selection and Device Setup: Choose a subscription plan that suits your upon requirements. Ensure that the device is connected with adapter can get power on and near by Bluetooth range during the setup process to establish a stable connection.

 3. Device Integration with Account: Add the new device to your account. You'll be prompted to input your Wi-Fi network's SSID and password details to enable seamless connectivity. which supports only 2.4G band connections.

 4. Device Configuration and Policy Setup: Personalize the device by assigning it a distinct name and configuring any necessary policies like attendance, work hours, leave, device setup . This step ensures that the device operates according to your specific requirements and security measures. 

5. Admin Details and Fingerprint Parameters: Provide administrative credentials for accessing the device settings. Configure fingerprint parameters if applicable, and add user details by selecting specific device to establish user profiles within the system. 

6. User Addition Process Guidance: Guide the client through the process of adding users to the system. This may involve assigning unique identifiers, such as fingerprints or access codes, to individual users for seamless authentication.

 7. Attendance Records Checking Instructions: Instruct the client on how to access and review attendance records through the system interface. This allows for easy monitoring of employee attendance and punctuality. 

8. Adding Holiday Schedules to the System: To enhance system functionality, you can add holiday schedules to ensure accurate attendance tracking. This involves inputting dates and details of holidays when regular work schedules are altered. This feature enables the system to accommodate deviations from standard working hours and ensures accurate record-keeping.

9. Tour policies Guidance Process: Client have users to apply for particularly this then they are configuring upon understanding and explanation given to them.

 By following these comprehensive steps, you can successfully set up your new device, customize it to meet your needs, and seamlessly integrate it into your operational processes.

client side wifi update 196.168.0.1

Plan update:
1.Kindly Open the mobile application of biot with administrator user login. 
2.Go to the left side menu. 
3.Click on your name above the dashboard. 
4.Select ""Manage Subscription."" 
5.Choose the desired plan, enabling and disabling features as needed. 
6.Complete the payment for the selected plan. 
7.After the payment is processed, you can check the plan's expiry date and name."
T014531,ARSWin-Net,Run time error,Run time error,As discussed on call client will call in 5 minutes.,"I took remote access as the client was facing an issue. We installed the OCX files in the SysWOW64 folder and registered the OCX files in the system. The client is now able to update attendance, and the software is working properly."
T014531,ARSWin-Net,Run time error,Run time error,As discussed on call client will call in 5 minutes.,"I took remote access as the client was facing an issue. We installed the OCX files in the SysWOW64 folder and registered the OCX files in the system. The client is now able to update attendance, and the software is working properly."
T014531,ARSWin-Net,Run time error,Run time error,"Took remote access and found that the client was facing a runtime error while updating attendance. We reprocessed the attendance and attempted the update again, but the same issue still occurs.","I took remote access as the client was facing an issue. We installed the OCX files in the SysWOW64 folder and registered the OCX files in the system. The client is now able to update attendance, and the software is working properly."
T014531,ARSWin-Net,Run time error,Run time error,"Hi Viral,
Please check mail on 16-08-2024 send by Bhavyrajsinh Chavda.
Spreadsheet open time error (Run Time Error)","I took remote access as the client was facing an issue. We installed the OCX files in the SysWOW64 folder and registered the OCX files in the system. The client is now able to update attendance, and the software is working properly."
T014531,ARSWin-Net,Run time error,Run time error,Please provide remote session.,"I took remote access as the client was facing an issue. We installed the OCX files in the SysWOW64 folder and registered the OCX files in the system. The client is now able to update attendance, and the software is working properly."
T014531,ARSWin-Net,Run time error,Run time error,"I took remote access as the client was facing an issue. We installed the OCX files in the SysWOW64 folder and registered the OCX files in the system. The client is now able to update attendance, and the software is working properly.","I took remote access as the client was facing an issue. We installed the OCX files in the SysWOW64 folder and registered the OCX files in the system. The client is now able to update attendance, and the software is working properly."
T014533,,Spectra error Msg Timken Bharuch,"Hello Team, We have got this Msg Every Open Spectra Software we have already purchase license . Please Resolve this.",Check with nikunj bhai regarding AMC and License .,Client told me that issue has been solved.
T014533,,Spectra error Msg Timken Bharuch,"Hello Team, We have got this Msg Every Open Spectra Software we have already purchase license . Please Resolve this.",connect with client ASAP.,Client told me that issue has been solved.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,assign to ketulbhai,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Pending from sun team,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Pending from sun team,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Hi Zeel,
Both User Apply Tour in Ankleshwar location Date 17th June To 24th July.
And User Location Transfer Ankleshwar to Baroda on 01st July.
Now User Week Off showing status Absent.
Please find attached details attendance sheet /Location transfer entry/ user logs for your ready reference.

Please resolved all reprocess regarding case on priority base.
",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Please share Attdmain, Adjustapply, scheduderprocess of change location table.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,assign to ketulbhai,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Mail Activity To Sun Team For Data,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Pending From Sun Team Data,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Hi Zeel,
Please find attached details as required.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,We will check and update by 30-08-2024,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Assign to Ketulbhai.,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Hi Zeel, 
As discussed, please do not assign remote tickets to the Care+ Team. 
The QC/Dev. Team requires that all remote tickets be sent to the support team via email.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Please provide the necessary details, as the following information is incomplete or missing:
attddetails: This information is incomplete. Please ensure all required fields are filled out correctly.
attdmain: This section is missing. Please include the necessary details.
adjustapply: This information is incomplete. Please make sure all required details are provided.
",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Assign to ketulbhai.,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Mail activity to Sun Team for data

",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Pending From Sun Team For Data,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Hi Zeel,
Please find attached details as required.
No data in attddetails & adjustapply for 63755 & 83021.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Please share adjustapply, attdmain entries for this employees as per empid. Also schedules process with location transfer entry.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,assign to ketulbhai.,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Hi Zeel,
Please find attached details as required.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"We have to try to generated in local environment case is not generated, Ketul please try to generated this case on UAT first apply tour then transfer to other location.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,assign to ketulbhai,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Need to check on UAT
Pending for remote access",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Pending from sun team,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Hi Zeel,
We checked on UAT server and status showing is  blank.",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,"Hi Zeel, We checked on UAT server and status showing is blank.

",The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Case is identified ,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,EDD 25-10-2024,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,Delivery in pkg 4.1.75.0,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,assign to ketulbhai,The issue has been fixed in the shared release on 28-10-2024.
T014534,iApp,TKT032979,for below employees LWP came for 20th and 21st July (sat-Sun) in attendance Weekly off is showing but still status is showing Absent. 63755 - Chandrakant Bhole 83021 - Pratik Sanghavee,The issue has been fixed in the shared release on 28-10-2024.,The issue has been fixed in the shared release on 28-10-2024.
T014535,,Spectra biometric device issue at Ocrolus Noida office,"Hi Spectra Team,Kindly look into this on priority. We are facing an issue with our biometric machines at the Noida office. Kindly align an engineer tomorrow to check the devices. Contact details, address and biometric details are given below.a) Contact person details : Govind/Sunil:- 7408647600 / 9891886752b) Site details : Ocrolus, A61-A, Second floor, Sector 63, Noida-201307c) Hardware and Software installed at the site location : Hardwared) Issue faced : When using the biometric machines for the Cafeteria IN/OUT, Rear entry IN/OUT, Front glass door IN/OUT and Hall B near training room IN/OUT. The machines are not taking punches and they are stuck,hanging and restarting.Best RegardsAyush SaxenaTechOps Engineer,Ocrolus East M: +91-9919071311A-61A, Sector: 63, NoidaPin code: 201307Noida, Uttar Pradeshwww.ocrolus.com",Engineer visit the site and issue as been solved.,Engineer visit the site and issue has been resolved.
T014536,iApp,Attendance,"Dear team, I am unable to generate daily attendance due to the attendance are not captured in the spine. I have checked the server, fingerprints have been captured and attendance is shown but not appear in the spine. It only shows data are unavailable. Kindly assist at earliest RegardsDebora KilimbaManager HR & AdminHester Biosciences Africa LtdP. O Box 30216Kibaha, CoastMob: +255 655904716 Email- debora.kilimba@hester.in",I will connect shortly.,We got confirmation from client that data is available in Spine table.
T014536,iApp,Attendance,"Dear team, I am unable to generate daily attendance due to the attendance are not captured in the spine. I have checked the server, fingerprints have been captured and attendance is shown but not appear in the spine. It only shows data are unavailable. Kindly assist at earliest RegardsDebora KilimbaManager HR & AdminHester Biosciences Africa LtdP. O Box 30216Kibaha, CoastMob: +255 655904716 Email- debora.kilimba@hester.in",I will connect shortly.,We got confirmation from client that data is available in Spine table.
T014536,iApp,Attendance,"Dear team, I am unable to generate daily attendance due to the attendance are not captured in the spine. I have checked the server, fingerprints have been captured and attendance is shown but not appear in the spine. It only shows data are unavailable. Kindly assist at earliest RegardsDebora KilimbaManager HR & AdminHester Biosciences Africa LtdP. O Box 30216Kibaha, CoastMob: +255 655904716 Email- debora.kilimba@hester.in","The provided contact details are not reachable. Please provide an alternative number so we can connect with you and resolve the issue on priority.

",We got confirmation from client that data is available in Spine table.
T014536,iApp,Attendance,"Dear team, I am unable to generate daily attendance due to the attendance are not captured in the spine. I have checked the server, fingerprints have been captured and attendance is shown but not appear in the spine. It only shows data are unavailable. Kindly assist at earliest RegardsDebora KilimbaManager HR & AdminHester Biosciences Africa LtdP. O Box 30216Kibaha, CoastMob: +255 655904716 Email- debora.kilimba@hester.in",Please provide any mode of remote connection so we can resolve the issue as a priority.,We got confirmation from client that data is available in Spine table.
T014536,iApp,Attendance,"Dear team, I am unable to generate daily attendance due to the attendance are not captured in the spine. I have checked the server, fingerprints have been captured and attendance is shown but not appear in the spine. It only shows data are unavailable. Kindly assist at earliest RegardsDebora KilimbaManager HR & AdminHester Biosciences Africa LtdP. O Box 30216Kibaha, CoastMob: +255 655904716 Email- debora.kilimba@hester.in","The DLL has been replaced for the date and time issue, but for any further issues, we will connect tomorrow",We got confirmation from client that data is available in Spine table.
T014536,iApp,Attendance,"Dear team, I am unable to generate daily attendance due to the attendance are not captured in the spine. I have checked the server, fingerprints have been captured and attendance is shown but not appear in the spine. It only shows data are unavailable. Kindly assist at earliest RegardsDebora KilimbaManager HR & AdminHester Biosciences Africa LtdP. O Box 30216Kibaha, CoastMob: +255 655904716 Email- debora.kilimba@hester.in","The DLL has been replaced for the date and time issue, but for any further issues, we will connect tomorrow",We got confirmation from client that data is available in Spine table.
T014536,iApp,Attendance,"Dear team, I am unable to generate daily attendance due to the attendance are not captured in the spine. I have checked the server, fingerprints have been captured and attendance is shown but not appear in the spine. It only shows data are unavailable. Kindly assist at earliest RegardsDebora KilimbaManager HR & AdminHester Biosciences Africa LtdP. O Box 30216Kibaha, CoastMob: +255 655904716 Email- debora.kilimba@hester.in",We got confirmation from client that data is available in Spine table.,We got confirmation from client that data is available in Spine table.
T014537,,iApp - Attendance System - Weekly Review Meeting,iApp - Attendance System - Weekly Review Meeting ________________________________________________________________________________ Microsoft Teams Need help? Join the meeting now Meeting ID: 489 054 675 70 Passcode: UL8JkJ For organizers: Meeting options ________________________________________________________________________________,"Once the link provided , the issue will be resolved.","Once the link provided , the issue will be resolved."
T014538,,Canceled: iApp - Attendance System - Weekly Review Meeting,iApp - Attendance System - Weekly Review Meeting ________________________________________________________________________________ Microsoft Teams Need help? Join the meeting now Meeting ID: 489 054 675 70 Passcode: UL8JkJ For organizers: Meeting options ________________________________________________________________________________,"Once the link provided , the issue will be resolved.","Once the link provided , the issue will be resolved."
T014539,BioStamp 3S,device not working,device not working,creating RMA,Created the RMA 
T014540,,Device Network Problem,"Dear Sir, The device not in the network may need IP configuration. So please arrange a remote session as soon as possible. ( 12-08-24 to Till date Report not Download ) RAHUL PAL Mayur Extrusion Pvt. Ltd Mo. - +91-6394894356 Web: www.mayurwovens.com Email : hr.rajpur@mayurwovens.com J Save a tree...please do not print this e-mail unless you really need to. From: Dharmendra Rajput <dharmendra@spectra-vision.com> Sent: Friday, August 16, 2024 10:01 AM To: Hr Rajpur <hr.rajpur@mayurwovens.com> Cc: Paresh Sumara@mayurwovens.com <hr.manager@mayurwovens.com> Subject: Re: Device Network Problem Hi Sir, Please eMail of support@spectra-vision.com to have technical support as I am no more part of tech team. Best","Network Error,device is not pinging .","Network Error,device is not pinging ."
