"ticket_no","name","ticket_title","description_plain","comments","solution"
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,"""There was an issue with the punch for two employees, so we checked in Miscellaneous, then in Attendance live transaction, and assigned access to both for local checking and informed them to punch in. There was one more employee facing a stranger issue, so we followed the same process, assigned access, and suggested that if the stranger error persists, they should re-register their face and try punching again. Then, I asked them to update me.""","As discussed with Pranay Raj, Reported issue has been resolved.

"
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,Assigned to L2.,"As discussed with Pranay Raj, Reported issue has been resolved.

"
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,"I discussed the matter with Pranay, and he will confirm on Monday whether the issue has been resolved or is still pending.

","As discussed with Pranay Raj, Reported issue has been resolved.

"
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,"I discussed the matter with Pranay, and he will confirm on Monday whether the issue has been resolved or is still pending.","As discussed with Pranay Raj, Reported issue has been resolved.

"
T024904,ARSWin-Net,Spectra - Torrent Power - Agra - Punch Machine Error.,The attendance issue of not capturing attendance properly is increasing.,"As discussed with Pranay Raj, Reported issue has been resolved.","As discussed with Pranay Raj, Reported issue has been resolved.

"
T024905,,For FaceScribe Configuration.,"Dear All, Please Give Us Support ASAP For Sulzer Dept. FaceScribe Punching Machine Configuration(Recently Repaired).",Email has been sent to client for ticket generation.,"Discussed with Mr.Jaypal ji, they told us issue has been already resolved."
T024905,,For FaceScribe Configuration.,"Dear All, Please Give Us Support ASAP For Sulzer Dept. FaceScribe Punching Machine Configuration(Recently Repaired).",Email has been sent to client for ticket generation.,"Discussed with Mr.Jaypal ji, they told us issue has been already resolved."
T024905,,For FaceScribe Configuration.,"Dear All, Please Give Us Support ASAP For Sulzer Dept. FaceScribe Punching Machine Configuration(Recently Repaired).","Discussed with Mr.Jaypal ji, they told us issue has been already resolved.","Discussed with Mr.Jaypal ji, they told us issue has been already resolved."
T024906,iApp,"Attendance - Urgent, PL & SL must be clubbed.","Urgent, PL & SL must be clubbed.",Forward to the L2,Delete the clubbing rule then after employee applied the leave 
T024906,iApp,"Attendance - Urgent, PL & SL must be clubbed.","Urgent, PL & SL must be clubbed.",Delete the clubbing rule then after employee applied the leave ,Delete the clubbing rule then after employee applied the leave 
T024907,iApp,Overtime sanction,Overtime sanction right not shown,Forward to the L2,"The role for adding and deleting employee overtime has been assigned, and verification with the client has been completed."
T024907,iApp,Overtime sanction,Overtime sanction right not shown,"The role for adding and deleting employee overtime has been assigned, and verification with the client has been completed.","The role for adding and deleting employee overtime has been assigned, and verification with the client has been completed."
T024908,iApp, SPECTRA LINK PROBLEM(Most Urgent),"Dear Sir, Please find the below Screen shot for your reference, Today spectra punch not worked and we attach the error screenshot for your reference. We are monitoring attendance details based on this daily punch report in spectra. Kindly solve this issue as soon as possible.","Dear Ma'am,

As per the trailing email and discussion, kindly provide remote access to the server so that we can check what type of error is being displayed.","
As per the discussion with client, the Spectra link is now working, and the reported issue has been resolved.
The server for this location is in the Spectra office. The issue was resolved by starting the server from there."
T024908,iApp, SPECTRA LINK PROBLEM(Most Urgent),"Dear Sir, Please find the below Screen shot for your reference, Today spectra punch not worked and we attach the error screenshot for your reference. We are monitoring attendance details based on this daily punch report in spectra. Kindly solve this issue as soon as possible.",Waiting for server remote from client side.,"
As per the discussion with client, the Spectra link is now working, and the reported issue has been resolved.
The server for this location is in the Spectra office. The issue was resolved by starting the server from there."
T024908,iApp, SPECTRA LINK PROBLEM(Most Urgent),"Dear Sir, Please find the below Screen shot for your reference, Today spectra punch not worked and we attach the error screenshot for your reference. We are monitoring attendance details based on this daily punch report in spectra. Kindly solve this issue as soon as possible.","Dear Ma'am,

As per the discussion, the Spectra link is now working, and the reported issue has been resolved.","
As per the discussion with client, the Spectra link is now working, and the reported issue has been resolved.
The server for this location is in the Spectra office. The issue was resolved by starting the server from there."
T024909,,Case lock for Reader not working properly,"Dear Team, Kindly case lock and arrange support as per below given details. Site Name- JSA Worli, Mumbai Spectra Reader_FaceScribe Plus QMP Fault- Hang issue Thanks &",Connect tomorrow.,"This is SI client, so we have close the ticket."
T024909,,Case lock for Reader not working properly,"Dear Team, Kindly case lock and arrange support as per below given details. Site Name- JSA Worli, Mumbai Spectra Reader_FaceScribe Plus QMP Fault- Hang issue Thanks &",Connect tomorrow.,"This is SI client, so we have close the ticket."
T024910,,Change of IP in ARSwin software,"Dear Team, We need to change IP in ARSwin software against 2 Bioscribe systems. Kindly reach out to Mahadyuti on 86570 67225 for the same urgently. Looking forward to your reply, Best",Email has been sent to client for ticket generation.,"Remotely:

First: The old IP needed to be changed for two devices. We renamed the previously configured ones and added the same devices with the new IP, which was saved successfully. Then, we updated the TimeZone for both devices and updated all employees with access to both devices. After checking the gate status for both devices, it showed ""OK,"" but there was an error with the ""Set Time Zone"" feature. We updated the Netserver.dll file and registered it, which resolved the issue.

Second: When opening the standard report on their other local PC, an error appeared. We waited, but their IT team couldn't log in as an administrator for CMD. The client informed us that they will check it tomorrow, as the credentials are not working. I suggested that they go ahead and send a new email for this new point, and I will check it tomorrow."
T024910,,Change of IP in ARSwin software,"Dear Team, We need to change IP in ARSwin software against 2 Bioscribe systems. Kindly reach out to Mahadyuti on 86570 67225 for the same urgently. Looking forward to your reply, Best",Email has been sent to client for ticket generation.,"Remotely:

First: The old IP needed to be changed for two devices. We renamed the previously configured ones and added the same devices with the new IP, which was saved successfully. Then, we updated the TimeZone for both devices and updated all employees with access to both devices. After checking the gate status for both devices, it showed ""OK,"" but there was an error with the ""Set Time Zone"" feature. We updated the Netserver.dll file and registered it, which resolved the issue.

Second: When opening the standard report on their other local PC, an error appeared. We waited, but their IT team couldn't log in as an administrator for CMD. The client informed us that they will check it tomorrow, as the credentials are not working. I suggested that they go ahead and send a new email for this new point, and I will check it tomorrow."
T024910,,Change of IP in ARSwin software,"Dear Team, We need to change IP in ARSwin software against 2 Bioscribe systems. Kindly reach out to Mahadyuti on 86570 67225 for the same urgently. Looking forward to your reply, Best",call,"Remotely:

First: The old IP needed to be changed for two devices. We renamed the previously configured ones and added the same devices with the new IP, which was saved successfully. Then, we updated the TimeZone for both devices and updated all employees with access to both devices. After checking the gate status for both devices, it showed ""OK,"" but there was an error with the ""Set Time Zone"" feature. We updated the Netserver.dll file and registered it, which resolved the issue.

Second: When opening the standard report on their other local PC, an error appeared. We waited, but their IT team couldn't log in as an administrator for CMD. The client informed us that they will check it tomorrow, as the credentials are not working. I suggested that they go ahead and send a new email for this new point, and I will check it tomorrow."
T024910,,Change of IP in ARSwin software,"Dear Team, We need to change IP in ARSwin software against 2 Bioscribe systems. Kindly reach out to Mahadyuti on 86570 67225 for the same urgently. Looking forward to your reply, Best","Remotely:

First: The old IP needed to be changed for two devices. We renamed the previously configured ones and added the same devices with the new IP, which was saved successfully. Then, we updated the TimeZone for both devices and updated all employees with access to both devices. After checking the gate status for both devices, it showed ""OK,"" but there was an error with the ""Set Time Zone"" feature. We updated the Netserver.dll file and registered it, which resolved the issue.

Second: When opening the standard report on their other local PC, an error appeared. We waited, but their IT team couldn't log in as an administrator for CMD. The client informed us that they will check it tomorrow, as the credentials are not working. I suggested that they go ahead and send a new email for this new point, and I will check it tomorrow.","Remotely:

First: The old IP needed to be changed for two devices. We renamed the previously configured ones and added the same devices with the new IP, which was saved successfully. Then, we updated the TimeZone for both devices and updated all employees with access to both devices. After checking the gate status for both devices, it showed ""OK,"" but there was an error with the ""Set Time Zone"" feature. We updated the Netserver.dll file and registered it, which resolved the issue.

Second: When opening the standard report on their other local PC, an error appeared. We waited, but their IT team couldn't log in as an administrator for CMD. The client informed us that they will check it tomorrow, as the credentials are not working. I suggested that they go ahead and send a new email for this new point, and I will check it tomorrow."
T024910,,Change of IP in ARSwin software,"Dear Team, We need to change IP in ARSwin software against 2 Bioscribe systems. Kindly reach out to Mahadyuti on 86570 67225 for the same urgently. Looking forward to your reply, Best","I remotely checked, and the report was not opening due to an error. So, we registered 2 DLL files and checked, and now the report is opening. 
When a new employee was added, their data was not showing in the software. We checked and found that they had been added to another company. So, we suggested the necessary steps accordingly. Solved.","Remotely:

First: The old IP needed to be changed for two devices. We renamed the previously configured ones and added the same devices with the new IP, which was saved successfully. Then, we updated the TimeZone for both devices and updated all employees with access to both devices. After checking the gate status for both devices, it showed ""OK,"" but there was an error with the ""Set Time Zone"" feature. We updated the Netserver.dll file and registered it, which resolved the issue.

Second: When opening the standard report on their other local PC, an error appeared. We waited, but their IT team couldn't log in as an administrator for CMD. The client informed us that they will check it tomorrow, as the credentials are not working. I suggested that they go ahead and send a new email for this new point, and I will check it tomorrow."
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Assign to L2,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir","Hi Zeel,

Issue:

The user applied for leave, but it was pending manager approval. The user canceled the leave at the same time the manager approved it. This resulted in:

Approval entry on the leave application page.
Cancellation entry in the adjustment table.
Leave application visible on the leave page but not in the attendance sheet.

Action Needed:

If a leave application is canceled by the user, it should also be removed from the leave application page.
Attached are the relevant details from the adjustment table, attendance sheet, and leave application page.",Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir","As per your latest comment, please confirm whether the client wants to delete the cancellation entry or the approved entry from the AdjustApply table.",Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Assign to L2,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Mail activity to sun team which entry to be deleted.,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Confirmation pending from sun team,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir","Discussed this with Vishal Sir, and it was decided that we need to share the query to identify all affected user entries that have been both canceled and approved at the same time.

Additionally, we will need to update the frontend status for these users, changing it from ""Approved"" to ""Canceled"" for the affected entries.",Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir","We have received output as per query provided in mail. Total 7 records found on 7-mar-2025.Now please verify and provide update what client want to resolve this cases.They want to delete approval entry or cancellation entry.

SELECT * FROM eams.ADJUSTAPPLY a 
INNER JOIN eams.ADJUSTAPPLY a1 ON A.ID = A1.ORIGID
AND a1.LASTSTATUS = 'G' AND A1.CATEGORY = 'LeaveCancel'
WHERE A.CATEGORY = 'Leave'
AND A.LASTSTATUS= 'G'",Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Assign to L2,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir","As per remote session, We verify all records one by one.
And we need to change in front end approved to cancel.",Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Need to discuss with Vishal sir for further proccess,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir","Hi Mittal,
Please find attached sheet and provided update query to resolved the effected case.",Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir","Support team has verified effected cases and here we are providing query to change last status  as 'C' for effected cases reported by support team.
Please find attachment for query.",Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",assign to ketulbhai,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Effected user update query shared to sun team ,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Confirmation pending from sun team,Issue has been resolved
T024911,iApp,TKT026092,"Dear Sir, Mention employees Leave Cancel in system but not remove from attendance. 95317 - Farhat Nasir",Issue has been resolved,Issue has been resolved
T024912,,System Requirements for iapp,"Dear Ms. Trusha,Request to share system spec requirement for Iapp software.RegardsM.Shankara9591971036",Trusha has already shared the iApp prerequisite with the partner.,Trusha has already shared the iApp prerequisite with the partner.
T024913,,User configuration,"Dear Spectra Team, It has been observed that system is allowing to view and modify for other location, dept and sections. Why?? Please check immediately and take corrective action immediately.",connect tomorrow.,"As per client discussion, reported issue has been resolved.

The attendance data of all employees is visible under a particular user ID, and the client mentioned that this was not the case earlier. Upon checking, I found that the user has been assigned the ""Web Portal User"" group, which has all locations assigned. However, the client is not understanding this and insists that it was working fine earlier, even though the assigned user group includes all locations."
T024913,,User configuration,"Dear Spectra Team, It has been observed that system is allowing to view and modify for other location, dept and sections. Why?? Please check immediately and take corrective action immediately.",Connect tomorrow.,"As per client discussion, reported issue has been resolved.

The attendance data of all employees is visible under a particular user ID, and the client mentioned that this was not the case earlier. Upon checking, I found that the user has been assigned the ""Web Portal User"" group, which has all locations assigned. However, the client is not understanding this and insists that it was working fine earlier, even though the assigned user group includes all locations."
T024913,,User configuration,"Dear Spectra Team, It has been observed that system is allowing to view and modify for other location, dept and sections. Why?? Please check immediately and take corrective action immediately.","The attendance data of all employees is visible under a particular user ID, and the client mentioned that this was not the case earlier. Upon checking, I found that the user has been assigned the ""Web Portal User"" group, which has all locations assigned. However, the client is not understanding this and insists that it was working fine earlier, even though the assigned user group includes all locations.","As per client discussion, reported issue has been resolved.

The attendance data of all employees is visible under a particular user ID, and the client mentioned that this was not the case earlier. Upon checking, I found that the user has been assigned the ""Web Portal User"" group, which has all locations assigned. However, the client is not understanding this and insists that it was working fine earlier, even though the assigned user group includes all locations."
T024914,iApp,In- out flag related issue ,In- out flag related issue,"As discussed client want IN OUT flag in third party database as there is already third party configuration is done with IN flag as I and OUT flag as O but we checked the third party database only shows I flag for all punches. We checked in transaction all punches were did in one device which is configured as out mode. We suggested them if they want IN OUT flag in third party database than it is mandatory to configure different device with IN and OUT mode and also application is in IN OUT mode. Their application is configured in NULL mode and 2 device were configure in IN and OUT but one device is not working so all user punch on one device so flag reflect OUT in transactions.
",As discussed client want IN OUT flag in third party database as there is already third party configuration is done with IN flag as I and OUT flag as O but we checked the third party database only shows I flag for all punches. We checked in transaction all punches were did in one device which is configured as out mode. We suggested them if they want IN OUT flag in third party database than it is mandatory to configure different device with IN and OUT mode and also application is in IN OUT mode. Their application is configured in NULL mode and 2 device were configure in IN and OUT but one device is not working so all user punch on one device so flag reflect OUT in transactions.
T024916,NetXsControl Ent.,running netxcontrol ,running netxcontrol Atharv Parab +91 8412826178,"As discussed with Atharv, this is new installation and device is already installed at site and software configuration is pending so suggested them to share a mail for new installation so we can assign to implementation team.","As discussed with Atharv, this is new installation and device is already installed at site and software configuration is pending so suggested them to share a mail for new installation so we can assign to implementation team."
T024917,iApp,Delete late permission ,Employee id 84584 and date 20/02/2025 late permission delete issue,"1. I opening the attendance sheet, we noticed that the shift information was incorrect. When attempting to apply for a shift change, a message indicated that late permission had already been approved for that day. 
2. Despite trying to delete the late permission, the same message persisted. 
3. To address this, we accessed the Zydus database and executed the following queries: 
Select * from empmaster where code='84584' 
SELECT * FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/02/20' AND category = 'Late'; 
Delete FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/02/20' AND category = 'Late'; 
4.After removing the late permission, we redirected to the attendance page. However, the same error persisted when attempting to change the shift. To resolve this, we executed the following query to set the early flag to NULL mode: 
Select * from attdmain where empid='' and attddate='2025/02/20' 
5. With this adjustment, the employee was able to change the shift as needed.","1. I opening the attendance sheet, we noticed that the shift information was incorrect. When attempting to apply for a shift change, a message indicated that late permission had already been approved for that day. 
2. Despite trying to delete the late permission, the same message persisted. 
3. To address this, we accessed the Zydus database and executed the following queries: 
Select * from empmaster where code='84584' 
SELECT * FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/02/20' AND category = 'Late'; 
Delete FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/02/20' AND category = 'Late'; 
4.After removing the late permission, we redirected to the attendance page. However, the same error persisted when attempting to change the shift. To resolve this, we executed the following query to set the early flag to NULL mode: 
Select * from attdmain where empid='' and attddate='2025/02/20' 
5. With this adjustment, the employee was able to change the shift as needed."
T024918,iApp,Late permission issue ,Employee id 42222 and date 30/01/2025 late permission delete issue,"1. I opening the attendance sheet, we noticed that the shift information was incorrect. When attempting to apply for a shift change, a message indicated that late permission had already been approved for that day. 
2. Despite trying to delete the late permission, the same message persisted. 
3. To address this, we accessed the Zydus database and executed the following queries: 
Select * from empmaster where code='42222' 
SELECT * FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/01/30' AND category = 'Late'; 
Delete FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/01/30' AND category = 'Late'; 
4.After removing the late permission, we redirected to the attendance page. However, the same error persisted when attempting to change the shift. To resolve this, we executed the following query to set the early flag to NULL mode: 
Select * from attdmain where empid='' and attddate='2025/01/30' 
5. With this adjustment, the employee was able to change the shift as needed.","1. I opening the attendance sheet, we noticed that the shift information was incorrect. When attempting to apply for a shift change, a message indicated that late permission had already been approved for that day. 
2. Despite trying to delete the late permission, the same message persisted. 
3. To address this, we accessed the Zydus database and executed the following queries: 
Select * from empmaster where code='42222' 
SELECT * FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/01/30' AND category = 'Late'; 
Delete FROM adjustapply(nolock) WHERE userid='' AND attddate='2025/01/30' AND category = 'Late'; 
4.After removing the late permission, we redirected to the attendance page. However, the same error persisted when attempting to change the shift. To resolve this, we executed the following query to set the early flag to NULL mode: 
Select * from attdmain where empid='' and attddate='2025/01/30' 
5. With this adjustment, the employee was able to change the shift as needed."
T024919,iApp,Apprentice not able to apply leave,"Apprentice cannot able to apply for the leave kindly check & resolve the problem They are showing some error Error:- ""Insufficient leave balance as on 06/02/2025"".",Not able to apply leave on 06/02/2025 because leave accrual updated on 15/02/2025. Leave cannot be applied before the accrual date.,Not able to apply leave on 06/02/2025 because leave accrual updated on 15/02/2025. Leave cannot be applied before the accrual date.
T024920,iApp,Attendance and leave policy 2025,"Hi, We need to update iApp as per attached policy. Balance CL of 2024 to be uploaded in PL in the year 2025. Please help. Thank you, Chinmay","Dear Sir,

As per the trailing mail, we were supposed to connect on a call, but you side did not reach out.

Please call me or schedule a time for support when you are available.","As per client discussion, Balance of CL of 2024 to be uploaded in PL in the year 2025 this issue has been resolved."
T024920,iApp,Attendance and leave policy 2025,"Hi, We need to update iApp as per attached policy. Balance CL of 2024 to be uploaded in PL in the year 2025. Please help. Thank you, Chinmay","Dear Sir,

As per the trailing mail, we were supposed to connect on a call, but you side did not reach out.

Please call me or schedule a time for support when you are available.","As per client discussion, Balance of CL of 2024 to be uploaded in PL in the year 2025 this issue has been resolved."
T024920,iApp,Attendance and leave policy 2025,"Hi, We need to update iApp as per attached policy. Balance CL of 2024 to be uploaded in PL in the year 2025. Please help. Thank you, Chinmay","Dear Sir,

As per the trailing mail, we were supposed to connect on a call, but you side did not reach out.
Please call me or schedule a time for support when you are available.","As per client discussion, Balance of CL of 2024 to be uploaded in PL in the year 2025 this issue has been resolved."
T024920,iApp,Attendance and leave policy 2025,"Hi, We need to update iApp as per attached policy. Balance CL of 2024 to be uploaded in PL in the year 2025. Please help. Thank you, Chinmay","Dear Sir,

As per the trailing mail, we were supposed to connect on a call many time, but you side did not reach out.
Please call me or schedule a time for support when you are available. ","As per client discussion, Balance of CL of 2024 to be uploaded in PL in the year 2025 this issue has been resolved."
T024920,iApp,Attendance and leave policy 2025,"Hi, We need to update iApp as per attached policy. Balance CL of 2024 to be uploaded in PL in the year 2025. Please help. Thank you, Chinmay","Dear Sir,

As per discussion, we have connect tomorrow.

If there is any issue, kindly call me on this extension number - 728","As per client discussion, Balance of CL of 2024 to be uploaded in PL in the year 2025 this issue has been resolved."
T024923,iApp,Reporting to be changed,Pls. check following employees Reporting changes replication not done in EK to LMS. Attached one employee snap shot for your reference.,Changed Reporting Manager in LMS according to the given data.,Changed Reporting Manager in LMS according to the given data.
T024924,iApp,Regarding ESS app.,"Since 31st January my ESS app is not working, still it is not opened, I am not able to punch Kindly guide me. Do needful User:- Ashok Soni","Send invite link to the user, Guided him for the process. User able to access app now.","Send invite link to the user, Guided him for the process. User able to access app now."
T024925,iApp,Not Able to download Consolidated Attendance Report ,Last 15min I am try to download report but I can't do it kindly check & update now,"Stopped and Started services again, Report got generated successfully.","Stopped and Started services again, Report got generated successfully."
T024926,iApp,Technical Support Required,"Hi Mam Today attendance details is not reflecting in spectra and Himanshu is in touch with them. Thanks & Regards, Prem Kumar Singh Human Resources Ph: +91-1704-227600 / Ext.: 116 , M-7807405777 Mankind Pharma Ltd., Unit-III, Vill. Kunja, Rampur Ghat Road, Paonta Sahib, Distt-Sirmour, Himachal Pradesh - 173025","Dear Ma'am,


As per the trailing email, we are unable to connect the remote server due to the error shown. Kindly unlocked the account.


Please refer to the screenshot below for your reference.","Client comment reported issue has been resolved.
Now attendance punching details is showing in spectra.


Thanks & Regards,

       
	
Prem Kumar Singh

Human Resources"
T024926,iApp,Technical Support Required,"Hi Mam Today attendance details is not reflecting in spectra and Himanshu is in touch with them. Thanks & Regards, Prem Kumar Singh Human Resources Ph: +91-1704-227600 / Ext.: 116 , M-7807405777 Mankind Pharma Ltd., Unit-III, Vill. Kunja, Rampur Ghat Road, Paonta Sahib, Distt-Sirmour, Himachal Pradesh - 173025", unable to connect the remote server ,"Client comment reported issue has been resolved.
Now attendance punching details is showing in spectra.


Thanks & Regards,

       
	
Prem Kumar Singh

Human Resources"
T024927,NetXsControl Ent.,hanging issue,hanging issue,"We requested our team to confirm the warranty status. 26-02-2025, 16:03","As no update, we are closing this ticket."
T024927,NetXsControl Ent.,hanging issue,hanging issue,On hold,"As no update, we are closing this ticket."
T024927,NetXsControl Ent.,hanging issue,hanging issue,"As discussed, face device is hand sometimes so we suggested them to share the sort video so we can check with our hardware team.","As no update, we are closing this ticket."
T024927,NetXsControl Ent.,hanging issue,hanging issue,"As discussed, kindly share short video on face device hang.","As no update, we are closing this ticket."
T024927,NetXsControl Ent.,hanging issue,hanging issue,"We checked the video with our hardware team, they were suggested to disable the line multiplexing enabled from face portal and check. Also we found client is not under AMC so looped to AMC team.","As no update, we are closing this ticket."
